Ticker.Symbol,Security,SEC.filings,GICS.Sector,GICS.Sub.Industry,City,State,Country,Date.first.added,CIK,Financials.,marketcap
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,Santa Clara, California,United States,,1090872,0,55405517.22
AAL,American Airlines Group,reports,Industrials,Airlines,Fort Worth, Texas,United States,3/23/2015,6201,1,209871545.5
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,Roanoke, Virginia,United States,7/9/2015,1158449,1,82750413.55
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,Cupertino, California,United States,11/30/1982,320193,1,3542505266
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,North Chicago, Illinois,United States,12/31/2012,1551152,1,375669898
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania,United States,,1140859,1,108488627.8
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,North Chicago, Illinois,United States,3/31/1964,1800,1,401215496
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,Dublin,NA,Ireland,7/6/2011,1467373,0,203747629.8
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,San Jose, California,United States,5/5/1997,796343,1,214043338.8
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,Norwood, Massachusetts,United States,,6281,1,127702275.3
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,Decatur, Illinois,United States,7/29/1981,7084,1,114535855
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,Roseland, New Jersey,United States,3/31/1981,8670,0,206423350
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,Plano, Texas,United States,12/23/2013,1101215,1,77392950
ADSK,Autodesk Inc,reports,Information Technology,Application Software,San Rafael, California,United States,12/1/1989,769397,1,113205699.1
AEE,Ameren Corp,reports,Utilities,MultiUtilities,St. Louis, Missouri,United States,9/19/1991,1002910,1,49873721.05
AEP,American Electric Power,reports,Utilities,Electric Utilities,Columbus, Ohio,United States,,4904,1,105583918.3
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,United States,,874761,0,37709224
AET,Aetna Inc,reports,Health Care,Managed Health Care,Hartford, Connecticut,United States,6/30/1976,1122304,0,196940284.2
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,Columbus, Georgia,United States,,4977,1,83095437.61
AGN,"Allergan, Plc",reports,Health Care,Pharmaceuticals,Dublin,NA,Ireland,,884629,0,833319660.2
AIG,"American International Group, Inc.",reports,Financials,Property & Casualty Insurance,New York, New York,United States,3/31/1980,5272,1,275523288.6
AIV,Apartment Investment & Mgmt,reports,Real Estate,REITs,Denver, Colorado,United States,,922864,1,62761906.38
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,New York, New York,United States,4/10/2007,1267238,1,26725108.29
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,Itasca, Illinois,United States,5/31/2016,354190,1,63365218.78
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,Cambridge, Massachusetts,United States,7/12/2007,1086222,1,64439552
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,Baton Rouge, Louisiana,United States,7/1/2016,915913,1,38701568.9
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,Seattle, Washington,United States,5/13/2016,766421,1,82607632.79
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,Northfield Township, Illinois,United States,,899051,1,126411665.1
ALLE,Allegion,reports,Industrials,Building Products,Dublin,NA,Ireland,12/2/2013,1579241,1,32115200
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,Cheshire, Connecticut,United States,5/25/2012,899866,1,174703562.1
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,Santa Clara, California,United States,,6951,1,188724641
AME,AMETEK Inc,reports,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania,United States,9/23/2013,1037868,1,50816157.91
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,Beverly, Massachusetts,United States,7/1/2014,1004434,1,97321942.01
AMGN,Amgen Inc,reports,Health Care,Biotechnology,Thousand Oaks, California,United States,1/2/1992,318154,1,466863173.4
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota,United States,,820027,1,88541215.6
AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,Boston, Massachusetts,United States,11/19/2007,1053507,1,172057608
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington,United States,11/18/2005,1018724,1,3093438690
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,Fort Lauderdale, Florida,United States,,350698,1,25516926.05
ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,Indianapolis, Indiana,United States,,1156039,1,156091093.3
AON,Aon plc,reports,Financials,Insurance Brokers,London,NA,United Kingdom,,315293,1,70743478.37
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,United States,,6769,1,142064903.2
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,The Woodlands, Texas,United States,,773910,1,170245802.3
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,Allentown, Pennsylvania,United States,4/30/1985,2969,1,104398943.1
APH,Amphenol Corp,reports,Information Technology,Electronic Components,Wallingford, Connecticut,United States,9/30/2008,820313,1,58914237.37
ARNC,Arconic Inc,reports,Industrials,Aerospace & Defense,New York, New York,United States,3/31/1964,4281,1,93701165.05
