Ticker Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Country,Date first added,CIK,Financials?
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",United States,,66740,1
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",United States,3/31/1964,1800,1
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",United States,12/31/2012,1551152,1
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,Dublin,Ireland,7/6/2011,1467373,0
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,"Santa Monica, California",United States,8/31/2015,718877,1
AYI,Acuity Brands Inc,reports,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",United States,5/3/2016,1144215,1
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",United States,5/5/1997,796343,1
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",United States,7/9/2015,1158449,1
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",United States,,874761,0
AET,Aetna Inc,reports,Health Care,Managed Health Care,"Hartford, Connecticut",United States,6/30/1976,1122304,0
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",United States,7/1/2014,1004434,1
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",United States,,4977,1
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",United States,,1090872,0
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",United States,4/30/1985,2969,1
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",United States,7/12/2007,1086222,1
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",United States,5/13/2016,766421,1
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",United States,7/1/2016,915913,1
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Cheshire, Connecticut",United States,5/25/2012,899866,1
